wavelength[nm],species,ext_eff[meter ** 2 / kilogram],fine_fraction[1],growth_factor[1]
355,DUST_1,1185.6006131506851,0.4849907765091238,
500,DUST_1,1285.811233561644,0.4846075719947273,
532,DUST_1,1326.0118405479457,0.49405568193826266,
550,DUST_1,1349.2484679452057,0.5025784439248405,
1064,DUST_1,1544.110441643836,0.348563022398308,
355,DUST_2,572.8050824797847,0.0,
500,DUST_2,591.1778557277629,0.0,
532,DUST_2,592.4078935309974,0.0,
550,DUST_2,592.1394171832887,0.0,
1064,DUST_2,666.9959818059301,0.0,
355,DUST_3,328.8781129716982,0.0,
500,DUST_3,331.912068042453,0.0,
532,DUST_3,332.6211510613209,0.0,
550,DUST_3,332.95499481132094,0.0,
1064,DUST_3,342.2968313679246,0.0,
355,DUST_4,172.8371454088051,0.0,
500,DUST_4,174.074422264151,0.0,
532,DUST_4,174.36732522012585,0.0,
550,DUST_4,174.52049446540886,0.0,
1064,DUST_4,177.70171641509444,0.0,
355,DUST_5,96.33489268867928,0.0,
500,DUST_5,96.81330979952833,0.0,
532,DUST_5,96.93120573113212,0.0,
550,DUST_5,96.99456728773586,0.0,
1064,DUST_5,98.32619196933965,0.0,
355,SEAS_1,2990.4929858868763,1.0,1.0
355,SEAS_1,3104.730790652313,1.0,1.02
355,SEAS_1,3221.2894962293476,1.0,1.04
355,SEAS_1,3340.131397174409,1.0,1.06
355,SEAS_1,3456.9848057431286,1.0,1.08
355,SEAS_1,3576.3158825519795,1.0,1.1
355,SEAS_1,3703.760076862274,1.0,1.12
355,SEAS_1,3830.391900656333,1.0,1.14
355,SEAS_1,3960.3314454399733,1.0,1.16
355,SEAS_1,4089.5016410818657,1.0,1.18
355,SEAS_1,4219.114398825004,1.0,1.2
355,SEAS_1,4358.179925882259,0.9768236140599377,1.22
355,SEAS_1,4499.310772215347,0.9546394796903053,1.24
355,SEAS_1,4642.935777490653,0.9332830371517443,1.26
355,SEAS_1,4786.784902061583,0.9131284673131813,1.28
355,SEAS_1,4930.273332212429,0.8941617011408853,1.3
355,SEAS_1,5083.02081748798,0.8746016766715751,1.32
355,SEAS_1,5240.866366012506,0.858408456398408,1.34
355,SEAS_1,5401.073362942158,0.8396177247984565,1.36
355,SEAS_1,5562.092001948071,0.8246103796316392,1.38
355,SEAS_1,5722.14251558931,0.807609207655539,1.4
355,SEAS_1,5891.443899495414,0.7929094575966388,1.42
355,SEAS_1,6066.635013337573,0.775471859233167,1.44
355,SEAS_1,6244.391566176766,0.761145050714818,1.46
355,SEAS_1,6422.818187793312,0.7473874739455941,1.48
355,SEAS_1,6599.818527614397,0.7343859151944093,1.5
355,SEAS_1,6786.718475868463,0.7208634605724709,1.52
355,SEAS_1,6978.003335742097,0.7074738008816026,1.54
355,SEAS_1,7172.068719837638,0.6921168323398607,1.56
355,SEAS_1,7365.28382011392,0.6819118877645863,1.58
355,SEAS_1,7556.644302620299,0.6700971205472414,1.6
355,SEAS_1,7759.031232943282,0.657784208859568,1.62
355,SEAS_1,7962.650641763039,0.6458535219735346,1.64
355,SEAS_1,8169.605133705935,0.6341171680227848,1.66
355,SEAS_1,8372.800444334876,0.6231013806352944,1.68
355,SEAS_1,8574.088621580762,0.6145605076807942,1.7
355,SEAS_1,8787.069373682629,0.6035796326078393,1.72
355,SEAS_1,8997.77370044696,0.595017378650295,1.74
355,SEAS_1,9212.373293430463,0.5846537411710065,1.76
355,SEAS_1,9419.80330366884,0.5768898399906166,1.78
355,SEAS_1,9626.420186163286,0.567630718730146,1.8
355,SEAS_1,9843.454403055945,0.5598079979470446,1.82
355,SEAS_1,10056.422605354353,0.550728720575627,1.84
355,SEAS_1,10272.297127888602,0.5434639076700792,1.86
355,SEAS_1,10478.569793448503,0.5369003222373822,1.88
355,SEAS_1,10687.286613619575,0.5287282415367959,1.9
355,SEAS_1,10901.518111641486,0.5221305391716657,1.92
355,SEAS_1,11113.624741812255,0.5157975957307271,1.94
355,SEAS_1,11324.68535028357,0.5096602577754803,1.96
355,SEAS_1,11526.326425686728,0.5024972432585967,1.98
355,SEAS_1,11735.646768297032,0.4967010977150292,2.0
355,SEAS_1,11942.471941190886,0.49111799777684023,2.02
355,SEAS_1,12152.722425777552,0.48549393308225963,2.04
355,SEAS_1,12355.742747231096,0.48024653628743375,2.06
355,SEAS_1,12552.795335372752,0.4752979876420481,2.08
355,SEAS_1,12760.577199753054,0.47000940788613543,2.1
355,SEAS_1,12962.716874798845,0.46499504713515905,2.12
355,SEAS_1,13171.580313485578,0.45980260063708517,2.14
355,SEAS_1,13369.19637635142,0.4550585898930886,2.16
355,SEAS_1,13567.220749977489,0.45176892907760596,2.18
355,SEAS_1,13774.35606710714,0.4467917142263989,2.2
355,SEAS_1,13979.602003453347,0.4419313529799548,2.22
355,SEAS_1,14189.826589505406,0.4369703045765668,2.24
355,SEAS_1,14390.387014401345,0.4323587443229672,2.26
355,SEAS_1,14600.2818545024,0.42888459865949946,2.28
355,SEAS_1,14810.083301875471,0.42409294769961,2.3
355,SEAS_1,15029.698124495448,0.41908166274365494,2.32
355,SEAS_1,15245.553139464431,0.41557313074257185,2.34
355,SEAS_1,15458.080632969948,0.4108682433964976,2.36
355,SEAS_1,15685.11179521263,0.4058378219882927,2.38
355,SEAS_1,15909.297944098551,0.4022499805581053,2.4
355,SEAS_1,16149.021568385126,0.39702541608781006,2.42
355,SEAS_1,16377.42853042249,0.3934285128937098,2.44
355,SEAS_1,16613.672389379586,0.38841224762330184,2.46
355,SEAS_1,16857.563175966003,0.38328058131344095,2.48
355,SEAS_1,17107.017535684157,0.379343884360485,2.5
355,SEAS_1,17363.221011487884,0.375305261167213,2.52
355,SEAS_1,17613.69347957872,0.3702050955184639,2.54
355,SEAS_1,17871.981895421002,0.36622336883052076,2.56
355,SEAS_1,18137.495219766097,0.360928352615158,2.58
355,SEAS_1,18414.33947160554,0.356682294659343,2.6
355,SEAS_1,18681.031061608795,0.3514906309790298,2.62
355,SEAS_1,18954.05990545408,0.34742862004530983,2.64
355,SEAS_1,19233.277458178614,0.34330376532613355,2.66
355,SEAS_1,19512.651473848127,0.33806577364101265,2.68
355,SEAS_1,19811.41047473942,0.3337275627004922,2.7
355,SEAS_1,20096.325428957913,0.32968604678891245,2.72
355,SEAS_1,20383.566827736206,0.3256640863518498,2.74
355,SEAS_1,20668.64536096058,0.3206076618029588,2.76
355,SEAS_1,20971.87058315819,0.31646880236236913,2.78
355,SEAS_1,21275.146186667866,0.3123980815333263,2.8
355,SEAS_1,21568.648642305685,0.3085338547786848,2.82
355,SEAS_1,21865.596743205148,0.3035851433903478,2.84
355,SEAS_1,22155.50820929695,0.29989035602340836,2.86
355,SEAS_1,22456.86022355919,0.29609337108838335,2.88
355,SEAS_1,22754.765281925687,0.29239385714738264,2.9
355,SEAS_1,23054.91972705676,0.2887133154280363,2.92
355,SEAS_1,23353.322099881512,0.2850988647242815,2.94
355,SEAS_1,23654.994358674354,0.2814851159980894,2.96
355,SEAS_1,23953.458054537186,0.2769014304083775,2.98
355,SEAS_1,24240.83904759998,0.2735258860712042,3.0
355,SEAS_1,24525.78226927697,0.2701993683009775,3.02
355,SEAS_1,24810.39227465429,0.26689462719026363,3.04
355,SEAS_1,25102.958702597854,0.26352233692192734,3.06
355,SEAS_1,25386.937636143768,0.2602567832532438,3.08
355,SEAS_1,25664.353460875307,0.25707095761661686,3.1
355,SEAS_1,25936.29175794913,0.25395017828070826,3.12
355,SEAS_1,26213.884752144637,0.25078561817090345,3.14
355,SEAS_1,26498.859437535073,0.24756687758923762,3.16
355,SEAS_1,26774.798633311435,0.2444509002253813,3.18
355,SEAS_1,27043.357902470874,0.24141958569053026,3.2
355,SEAS_1,27305.709508735752,0.23846064009072132,3.22
355,SEAS_1,27578.12424445274,0.23543365473007458,3.24
355,SEAS_1,27851.302099275854,0.23340815700469697,3.26
355,SEAS_1,28123.287583439713,0.23042970132737428,3.28
355,SEAS_1,28395.418300352594,0.22747480363179567,3.3
355,SEAS_1,28670.665907619536,0.22452002395816684,3.32
355,SEAS_1,28956.866094103447,0.22150620425124598,3.34
355,SEAS_1,29240.207008880512,0.21854090487247096,3.36
355,SEAS_1,29509.282555437258,0.2157039298990198,3.38
355,SEAS_1,29777.868034256484,0.2128874274046593,3.4
355,SEAS_1,30083.612461745222,0.21078571925532852,3.42
355,SEAS_1,30386.093157396994,0.20776637646390728,3.44
355,SEAS_1,30673.870477741188,0.20486408594967082,3.46
355,SEAS_1,30956.10284778917,0.20200895716128595,3.48
355,SEAS_1,31250.356978339652,0.1990836923395885,3.5
355,SEAS_1,31593.24998735723,0.19680848410400595,3.52
355,SEAS_1,31888.906338382232,0.19389337631242323,3.54
355,SEAS_1,32194.018395527906,0.19092757694630716,3.56
355,SEAS_1,32509.160775110977,0.18791209546753584,3.58
355,SEAS_1,32864.369538683284,0.1856149650984463,3.6
355,SEAS_1,33173.24594403234,0.18266364773674038,3.62
355,SEAS_1,33494.718935911864,0.17965951181804923,3.64
355,SEAS_1,33866.54955846578,0.17733519457366703,3.66
355,SEAS_1,34179.601802549645,0.17442399467423966,3.68
355,SEAS_1,34515.187056053976,0.1714252718197728,3.7
355,SEAS_1,34907.58506299794,0.16909618939338392,3.72
355,SEAS_1,35245.330958943705,0.16615941726143696,3.74
355,SEAS_1,35583.66178859011,0.163255506375785,3.76
355,SEAS_1,35988.40996082387,0.1609924641210264,3.78
355,SEAS_1,36336.46282209235,0.1581236788265791,3.8
355,SEAS_1,36695.50755978293,0.15524491739522014,3.82
355,SEAS_1,37095.51795702554,0.15312636353471248,3.84
355,SEAS_1,37435.81539746294,0.15039782179839256,3.86
355,SEAS_1,37852.1881663124,0.14740056779890712,3.88
355,SEAS_1,38204.94468421632,0.1455681699676077,3.9
355,SEAS_1,38580.87659326969,0.14279015304569523,3.92
355,SEAS_1,38962.80812208732,0.14089192449000545,3.94
355,SEAS_1,39324.70910420068,0.13820918515299438,3.96
355,SEAS_1,39745.32179057023,0.1362111692628993,3.98
355,SEAS_1,40096.03883617883,0.13359850476483526,4.0
355,SEAS_1,40497.61942711853,0.13083010715345061,4.02
355,SEAS_1,40847.48829040544,0.12910386601525492,4.04
355,SEAS_1,41231.25541773883,0.12641776583986955,4.06
355,SEAS_1,41585.79436087499,0.12469173330347211,4.08
355,SEAS_1,41969.90808480565,0.12203290636183764,4.1
355,SEAS_1,42318.573188676324,0.12034792251730504,4.12
355,SEAS_1,42688.74683860224,0.11776646399326589,4.14
355,SEAS_1,43039.40021030439,0.11611113586122997,4.16
355,SEAS_1,43421.17657988903,0.11354738158897394,4.18
355,SEAS_1,43770.470949456605,0.11194303695666585,4.2
355,SEAS_1,44140.794099272636,0.10946703129732387,4.22
355,SEAS_1,44477.93493638404,0.10794553393234642,4.24
355,SEAS_1,44861.277173738,0.10549862770295493,4.26
355,SEAS_1,45181.28927976503,0.10406994840931406,4.28
355,SEAS_1,45560.119057153854,0.10169282243477866,4.3
355,SEAS_1,45909.0225968678,0.10024804821326233,4.32
355,SEAS_1,46260.68536454437,0.09881915454754896,4.34
355,SEAS_1,46653.15027204329,0.09649145556355007,4.36
355,SEAS_1,47015.77179809047,0.09508069761774944,4.38
355,SEAS_1,47409.563420007544,0.09279275703059647,4.4
355,SEAS_1,47723.423484024934,0.09150502905247675,4.42
355,SEAS_1,48105.270994124425,0.0900940239432805,4.44
355,SEAS_1,48512.43754481396,0.08781738905312841,4.46
355,SEAS_1,48887.92424303366,0.0864321132266895,4.48
355,SEAS_1,49301.27751660689,0.0841602533982121,4.5
355,SEAS_1,49635.25028418856,0.08285140879116701,4.52
355,SEAS_1,50030.27516026646,0.08144228998647268,4.54
355,SEAS_1,50465.60705609876,0.0791561603190212,4.56
355,SEAS_1,50826.83380848094,0.07781722941958669,4.58
355,SEAS_1,51233.44964717764,0.0764201574575869,4.6
355,SEAS_1,51685.5164223403,0.07415933573635612,4.62
355,SEAS_1,52060.02932879991,0.0728471293059767,4.64
355,SEAS_1,52494.502110137815,0.07147305762334658,4.66
355,SEAS_1,52964.74230728315,0.06926861067914988,4.68
355,SEAS_1,53353.20924136834,0.06801010316983999,4.7
355,SEAS_1,53795.04625671818,0.06670995371380493,4.72
355,SEAS_1,54298.132077824856,0.06456039433423506,4.74
355,SEAS_1,54710.62452906781,0.06335394822619793,4.76
355,SEAS_1,55178.94191958768,0.06210891768063128,4.78
355,SEAS_1,55671.110232787774,0.0600656655471909,4.8
500,SEAS_1,3380.8577002226657,1.0,1.0
500,SEAS_1,3505.0220480722937,1.0,1.02
500,SEAS_1,3632.9445383442257,1.0,1.04
500,SEAS_1,3767.500631239227,1.0,1.06
500,SEAS_1,3907.3543739956604,1.0,1.08
500,SEAS_1,4048.325572819078,1.0,1.1
500,SEAS_1,4188.372009633632,1.0,1.12
500,SEAS_1,4326.95510462942,1.0,1.14
500,SEAS_1,4464.361817886,1.0,1.16
500,SEAS_1,4602.223459537468,1.0,1.18
500,SEAS_1,4743.899782242269,1.0,1.2
500,SEAS_1,4892.335120420702,0.9802861768333646,1.22
500,SEAS_1,5045.154779167888,0.9602994697244432,1.24
500,SEAS_1,5197.770382292019,0.940960274486873,1.26
500,SEAS_1,5348.172343794111,0.9225721178402377,1.28
500,SEAS_1,5495.969746366864,0.9051122137747833,1.3
500,SEAS_1,5642.132181743149,0.8883422680651966,1.32
500,SEAS_1,5789.603163832475,0.8753985240521055,1.34
500,SEAS_1,5942.644695124183,0.8583821718075202,1.36
500,SEAS_1,6101.517786155838,0.8445949723560964,1.38
500,SEAS_1,6261.1370163085585,0.8275744725631606,1.4
500,SEAS_1,6418.3103561356575,0.8148827401733636,1.42
500,SEAS_1,6572.207817705127,0.7994242345578385,1.44
500,SEAS_1,6723.508621495214,0.7881446364728936,1.46
500,SEAS_1,6875.071566457216,0.7771123001962631,1.48
500,SEAS_1,7031.802196212971,0.7657800515919972,1.5
500,SEAS_1,7195.322231679826,0.7540237709900649,1.52
500,SEAS_1,7360.231104233197,0.7424501152812011,1.54
500,SEAS_1,7522.696074531152,0.7280190982894617,1.56
500,SEAS_1,7681.672366622766,0.7210086989891623,1.58
500,SEAS_1,7837.788425816589,0.7110876652740725,1.6
500,SEAS_1,7994.286237791844,0.7013404015917899,1.62
500,SEAS_1,8156.95448279715,0.6912678113565173,1.64
500,SEAS_1,8327.883679793522,0.6807407284340851,1.66
500,SEAS_1,8500.855781385506,0.6703073086740698,1.68
500,SEAS_1,8671.978175360788,0.66350561422446,1.7
500,SEAS_1,8840.025116061901,0.6538969635123555,1.72
500,SEAS_1,9005.555299558771,0.6478547312442433,1.74
500,SEAS_1,9172.444107036077,0.6386905224611343,1.76
500,SEAS_1,9347.585357146845,0.6322789200728249,1.78
500,SEAS_1,9532.52549264639,0.6222736086632897,1.8
500,SEAS_1,9720.006619627413,0.6154175442432318,1.82
500,SEAS_1,9906.887829730942,0.6057303916517582,1.84
500,SEAS_1,10091.618028049186,0.5994092683339807,1.86
500,SEAS_1,10274.727673599176,0.5933264730998139,1.88
500,SEAS_1,10460.979129283241,0.5842353534505897,1.9
500,SEAS_1,10658.282204961411,0.5776708064872778,1.92
500,SEAS_1,10865.86060275259,0.5707245013936698,1.94
500,SEAS_1,11076.025542268151,0.5638274331295995,1.96
500,SEAS_1,11286.947325859532,0.5542245308370174,1.98
500,SEAS_1,11496.48178917967,0.5477334819880971,2.0
500,SEAS_1,11705.554182091168,0.5414172008708364,2.02
500,SEAS_1,11920.254832239774,0.5349907763365711,2.04
500,SEAS_1,12148.886363591657,0.5281061971552733,2.06
500,SEAS_1,12386.164359294391,0.5210324806725257,2.08
500,SEAS_1,12625.99324539892,0.5140409841239164,2.1
500,SEAS_1,12867.178854596892,0.5071763565672675,2.12
500,SEAS_1,13106.799798394059,0.5005432078852227,2.14
500,SEAS_1,13346.999016222206,0.49404527465282394,2.16
500,SEAS_1,13595.831484939281,0.48994422854963227,2.18
500,SEAS_1,13860.11072748733,0.48287660267420407,2.2
500,SEAS_1,14129.376545449033,0.47582231611183806,2.22
500,SEAS_1,14401.648580325036,0.468850280143344,2.24
500,SEAS_1,14674.267989269401,0.4620418337503816,2.26
500,SEAS_1,14944.133929929754,0.45789770188710704,2.28
500,SEAS_1,15215.502209798427,0.45141750992334134,2.3
500,SEAS_1,15498.842431991905,0.44473561030503894,2.32
500,SEAS_1,15795.294926096796,0.4401806202196013,2.34
500,SEAS_1,16093.293626601173,0.43339426243935864,2.36
500,SEAS_1,16394.814941482775,0.42667856341613536,2.38
500,SEAS_1,16693.775340869342,0.42244495638297314,2.4
500,SEAS_1,16988.608235323256,0.4161782134176955,2.42
500,SEAS_1,17286.274973635467,0.4121864423305427,2.44
500,SEAS_1,17598.869350308203,0.4057488037398716,2.46
500,SEAS_1,17917.038195299236,0.39933012967883463,2.48
500,SEAS_1,18236.45647363276,0.3951726152960517,2.5
500,SEAS_1,18558.140542902816,0.39106021512008293,2.52
500,SEAS_1,18873.30490233148,0.38507948233109107,2.54
500,SEAS_1,19183.921571719788,0.38138514822987496,2.56
500,SEAS_1,19500.06824776169,0.3755983282880672,2.58
500,SEAS_1,19830.383439448433,0.3716948895649997,2.6
500,SEAS_1,20157.83270718204,0.36590728386442684,2.62
500,SEAS_1,20488.895209377108,0.3621691909942034,2.64
500,SEAS_1,20817.570696240367,0.3585449099784467,2.66
500,SEAS_1,21136.707040111833,0.35318398726469463,2.68
500,SEAS_1,21452.449048014503,0.34991602879581046,2.7
500,SEAS_1,21778.640897209752,0.34653062790995903,2.72
500,SEAS_1,22109.944801746118,0.3431198665691862,2.74
500,SEAS_1,22437.04889943605,0.33792767715737965,2.76
500,SEAS_1,22768.640876751906,0.33463411429748524,2.78
500,SEAS_1,23090.839210321123,0.3315231013171463,2.8
500,SEAS_1,23403.234937658985,0.32858801729164766,2.82
500,SEAS_1,23715.484472645476,0.3238368669008941,2.84
500,SEAS_1,24041.693732354906,0.32078720778711767,2.86
500,SEAS_1,24360.748320778373,0.3178634738459561,2.88
500,SEAS_1,24681.878889371088,0.3149392011498461,2.9
500,SEAS_1,25003.168698235524,0.31203786925049143,2.92
500,SEAS_1,25310.398763647536,0.30933119335328135,2.94
500,SEAS_1,25610.338793423565,0.3067255242384638,2.96
500,SEAS_1,25917.187289998954,0.30227494388400605,2.98
500,SEAS_1,26230.51918897588,0.2995432248736032,3.0
500,SEAS_1,26535.982385515163,0.29691180171644926,3.02
500,SEAS_1,26849.636409066876,0.29419821061448775,3.04
500,SEAS_1,27154.330201054705,0.29159129085128094,3.06
500,SEAS_1,27446.568239445172,0.28912136737385336,3.08
500,SEAS_1,27736.35643618953,0.2866770590210822,3.1
500,SEAS_1,28041.19032012095,0.28407942206417247,3.12
500,SEAS_1,28337.94573555451,0.28156704939358324,3.14
500,SEAS_1,28637.935540766233,0.2790249071411437,3.16
500,SEAS_1,28945.116672477747,0.2764170417545857,3.18
500,SEAS_1,29237.640712166864,0.27395209614605964,3.2
500,SEAS_1,29523.41486981573,0.2715494894886167,3.22
500,SEAS_1,29815.8908343732,0.26908441031509767,3.24
500,SEAS_1,30117.85507782317,0.2682109242109312,3.26
500,SEAS_1,30412.869531809472,0.26572160065710276,3.28
500,SEAS_1,30721.45666136038,0.2631172360069056,3.3
500,SEAS_1,31025.587270540087,0.2605558153146283,3.32
500,SEAS_1,31319.204387944155,0.2580846203575487,3.34
500,SEAS_1,31612.640801559297,0.25561471882307196,3.36
500,SEAS_1,31924.26483735029,0.2529999056703549,3.38
500,SEAS_1,32229.73792402893,0.2504372079780022,3.4
500,SEAS_1,32541.268584459976,0.24946545701552883,3.42
500,SEAS_1,32866.876791474504,0.24675182444410695,3.44
500,SEAS_1,33179.81986135694,0.24413758673625213,3.46
500,SEAS_1,33490.56160467779,0.24154057505416923,3.48
500,SEAS_1,33810.328178179785,0.23887947795337117,3.5
500,SEAS_1,34140.66748030497,0.23775764443183145,3.52
500,SEAS_1,34467.746164997945,0.2350469109030116,3.54
500,SEAS_1,34812.738918103205,0.23221790628035605,3.56
500,SEAS_1,35157.63045304476,0.2293948555253222,3.58
500,SEAS_1,35494.80693295434,0.22821602795739082,3.6
500,SEAS_1,35831.910572997935,0.22544508369716024,3.62
500,SEAS_1,36187.633578966415,0.22255968687804328,3.64
500,SEAS_1,36543.01562539666,0.22125543309464266,3.66
500,SEAS_1,36902.313202830934,0.21835415749435322,3.68
500,SEAS_1,37281.30215350091,0.21534321892420485,3.7
500,SEAS_1,37653.794272796964,0.21393578082370798,3.72
500,SEAS_1,38017.9311203083,0.2110208575048301,3.74
500,SEAS_1,38392.57209765016,0.20805348896561893,3.76
500,SEAS_1,38780.78724183841,0.20656391141270994,3.78
500,SEAS_1,39162.48184003556,0.20357362281327118,3.8
500,SEAS_1,39564.52607925438,0.20048919749720212,3.82
500,SEAS_1,39972.86803987555,0.19891438392975544,3.84
500,SEAS_1,40362.349210400025,0.1959175225110826,3.86
500,SEAS_1,40762.40050409689,0.1928818546953926,3.88
500,SEAS_1,41171.57849967769,0.19133012674446617,3.9
500,SEAS_1,41581.133903193506,0.18827803371252463,3.92
500,SEAS_1,41998.14403042107,0.186709240463618,3.94
500,SEAS_1,42427.15234098784,0.18360336300198205,3.96
500,SEAS_1,42855.9174896699,0.18200636570067197,3.98
500,SEAS_1,43265.15498020474,0.17901892425845195,4.0
500,SEAS_1,43703.4058293915,0.17592877226793358,4.02
500,SEAS_1,44114.99704182337,0.17443896663035888,4.04
500,SEAS_1,44556.07668518086,0.17137168858894886,4.06
500,SEAS_1,44992.42157706824,0.16980601023488637,4.08
500,SEAS_1,45439.678990462126,0.1667498087287586,4.1
500,SEAS_1,45862.37874532621,0.16525444727555036,4.12
500,SEAS_1,46300.264464526925,0.16226090651884365,4.14
500,SEAS_1,46725.36642208084,0.16077104861129438,4.16
500,SEAS_1,47169.32669081413,0.15778024421488643,4.18
500,SEAS_1,47592.43446356905,0.1563078156026021,4.2
500,SEAS_1,48058.41714019754,0.15326644567159334,4.22
500,SEAS_1,48479.061106604706,0.15180957465701728,4.24
500,SEAS_1,48923.156994192104,0.1488549223512444,4.26
500,SEAS_1,49348.93491529954,0.1473851671354408,4.28
500,SEAS_1,49771.54051824168,0.14450417614443906,4.3
500,SEAS_1,50206.11719433675,0.14300879246945616,4.32
500,SEAS_1,50638.83767272353,0.14151543823115065,4.34
500,SEAS_1,51071.20279780732,0.13861455543574552,4.36
500,SEAS_1,51484.72476143817,0.13717161078694862,4.38
500,SEAS_1,51909.26479959772,0.13429377176583168,4.4
500,SEAS_1,52332.523906133305,0.13282191537856092,4.42
500,SEAS_1,52728.55121888836,0.13141439308600075,4.44
500,SEAS_1,53148.9279166901,0.12854988276642232,4.46
500,SEAS_1,53573.56969975814,0.12707046191686217,4.48
500,SEAS_1,53982.76284091951,0.12423668127145582,4.5
500,SEAS_1,54391.993638726235,0.12279535638034834,4.52
500,SEAS_1,54789.84627134362,0.12137859658126723,4.54
500,SEAS_1,55178.82981338131,0.118596955890226,4.56
500,SEAS_1,55595.6626737404,0.11714355208033837,4.58
500,SEAS_1,55995.30892097159,0.11572811776986182,4.6
500,SEAS_1,56389.32305701067,0.11294749383032501,4.62
500,SEAS_1,56814.0091059938,0.11149057264592918,4.64
500,SEAS_1,57197.310072141336,0.11011779107128805,4.66
500,SEAS_1,57568.33728132066,0.10739497107378844,4.68
500,SEAS_1,57981.864884793686,0.10597305714992283,4.7
500,SEAS_1,58370.71031656182,0.10459920266584934,4.72
500,SEAS_1,58773.05305307963,0.10183196841284273,4.74
500,SEAS_1,59182.396188253035,0.10043040107504111,4.76
500,SEAS_1,59562.58277362951,0.099079850661391,4.78
500,SEAS_1,59965.953937453305,0.096322132034801,4.8
532,SEAS_1,3401.6877147448176,1.0,1.0
532,SEAS_1,3535.580681522618,1.0,1.02
532,SEAS_1,3669.5642177451086,1.0,1.04
532,SEAS_1,3803.326544080687,1.0,1.06
532,SEAS_1,3937.1372870246446,1.0,1.08
